class_id,鸟种,科学名,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm,主要生活方式,主要食性,栖息地,分布范围_km2
187,American Three toed Woodpecker,Picoides dorsalis,55.1,19.3,118.2,77.8,26.9,8.6,6.8,Insessorial,Invertivore,Forest,7897211.06
188,Pileated Woodpecker,Dryocopus pileatus,286.6,29.3,228.4,167.3,52.1,14.6,11.9,Insessorial,Invertivore,Forest,5925872.32
189,Red bellied Woodpecker,Melanerpes carolinus,69.5,21.1,127.2,76.8,32.6,7.1,7.6,Insessorial,Omnivore,Woodland,3074161.82
190,Red cockaded Woodpecker,Picoides borealis,48.0,21.1,117.0,85.0,18.2,6.8,6.1,Insessorial,Invertivore,Forest,603894.41
191,Red headed Woodpecker,Melanerpes erythrocephalus,71.6,20.6,139.7,83.3,27.3,7.6,7.4,Insessorial,Invertivore,Forest,5461683.2
192,Downy Woodpecker,Picoides pubescens,25.6,15.8,91.3,58.6,17.4,4.9,4.8,Insessorial,Invertivore,Woodland,12800223.82
193,Bewick Wren,Thryomanes bewickii,9.9,17.5,54.0,51.2,15.5,2.6,3.0,Generalist,Invertivore,Shrubland,3360146.45
194,Cactus Wren,Campylorhynchus brunneicapillus,38.9,26.2,83.2,86.4,26.1,4.0,5.7,Insessorial,Invertivore,Shrubland,1847263.76
195,Carolina Wren,Thryothorus ludovicianus,19.0,21.4,59.4,50.7,16.9,3.2,3.9,Insessorial,Invertivore,Woodland,3217727.29
196,House Wren,Troglodytes aedon,10.9,20.1,51.4,41.1,15.9,3.0,3.1,Insessorial,Invertivore,Shrubland,25654371.8
197,Marsh Wren,Cistothorus palustris,10.8,19.2,48.4,39.5,16.0,2.7,3.4,Insessorial,Invertivore,Wetland,4855077.99
198,Rock Wren,Salpinctes obsoletus,16.4,20.1,69.0,55.6,19.9,2.9,3.4,Terrestrial,Invertivore,Rock,5424173.4
199,Winter Wren,Troglodytes troglodytes,9.7,17.7,47.7,29.9,13.4,2.4,2.6,Insessorial,Invertivore,Forest,20939529.72
200,Common Yellowthroat,Geothlypis trichas,9.5,20.2,54.7,49.4,12.7,3.0,3.3,Insessorial,Invertivore,Wetland,12826786.25
