,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm
color_hist_s_6,-0.5797507441403364,-0.39600342362481256,-0.5857679391524039,-0.4134906599186754,-0.4182166140442444,-0.36663939228604825,-0.4276527764455345
color_hist_s_7,-0.5279307516911629,-0.349353943102612,-0.5148795181933905,-0.3707703870215346,-0.36282092325835213,-0.31977996898586697,-0.4066905669660353
color_hist_v_0,0.459951465885149,0.30702851202506903,0.4949754086297202,0.33005044713848625,0.45805551834575897,0.42927315607795635,0.375007971818426
color_hist_v_1,0.4213881691928633,0.2861823184057504,0.42363472382011924,0.23036756028511193,0.36402175326469166,0.36554040955728756,0.292535561811217
color_hist_v_2,0.0867201659688064,-0.004400554742724512,0.06999814369425807,-0.04011391473292215,0.008010533708748496,-0.012361867841124563,-0.07476216341593396
color_hist_v_3,-0.1331542273158464,-0.14573509229783072,-0.1812903020183675,-0.10477859832609411,-0.21220563838450765,-0.20188275219390997,-0.1785170743020463
color_hist_v_4,-0.39629382539461966,-0.30223042975317393,-0.440739747661745,-0.24604246079561695,-0.40350513387913267,-0.3109003385692524,-0.27520007110482936
color_hist_v_5,-0.46367609112581126,-0.32079121510573244,-0.4763470881371104,-0.2913983430709057,-0.3650725732764854,-0.3669994685384749,-0.30161473534373895
color_hist_v_6,-0.3220570791812669,-0.23390894842369836,-0.2857407508150144,-0.17171437616998664,-0.22819070340331365,-0.22941208200965055,-0.18644484901001263
color_hist_v_7,-0.20092950626212197,-0.134295300081019,-0.13565440441828147,-0.0991361141622332,-0.05604073376243938,-0.11972310345530414,-0.16345737775442207
lab_mean_l,-0.4017315082369075,-0.2439543940806456,-0.37122761885170047,-0.2431960926709523,-0.3137279023933039,-0.3610927176809584,-0.29501613243845176
lab_std_l,-0.15195510949620902,-0.07848843540099947,-0.1278954167991629,-0.0795333006428036,-0.06512533903213617,-0.00393383305776183,-0.0977098795329568
lab_mean_a,0.31179823422722375,0.14506829612154265,0.2600164630082933,0.15947011803160707,0.1880622798123255,0.1953293643997438,0.20879098736984095
lab_std_a,-0.4724431359180185,-0.3704724055768154,-0.4801692051895056,-0.30783752529920605,-0.3619306139407225,-0.22090303006949183,-0.32242167475373784
lab_mean_b,-0.6881256382501821,-0.415222754582299,-0.7077936761925313,-0.4542571017315602,-0.5805469294421471,-0.4919129211407383,-0.5521576193731336
lab_std_b,-0.504827724851026,-0.33881421321599786,-0.47757037560030835,-0.29986319436338665,-0.37112922680627414,-0.2519018446091356,-0.36421482674576744
shape_area_ratio,-0.11272954053499365,0.022139283167035867,-0.14637298267491017,-0.014046582935103977,-0.1364580916385797,-0.024159616220113943,-0.06853260821206789
shape_aspect_ratio,0.20213554681528043,0.20565074151520238,0.2665491630723361,0.18322285377337386,0.16580004657174835,-0.028527791257365494,0.0803331334940933
shape_extent,0.25267599623977227,0.227252987491887,0.2450377542851017,0.10903802509288478,0.21164985135471528,0.0790562415380031,0.16280779379216462
