,precision,recall,f1-score,support
1,0.08695652173913043,0.06666666666666667,0.07547169811320754,30.0
2,0.0,0.0,0.0,30.0
3,0.0,0.0,0.0,28.0
4,0.05263157894736842,0.03333333333333333,0.04081632653061224,30.0
5,0.0,0.0,0.0,14.0
6,0.034482758620689655,0.18181818181818182,0.057971014492753624,11.0
7,0.0,0.0,0.0,23.0
8,0.021739130434782608,0.05555555555555555,0.03125,18.0
9,0.013333333333333334,0.034482758620689655,0.019230769230769232,29.0
10,0.14,0.23333333333333334,0.175,30.0
11,0.0,0.0,0.0,30.0
12,0.14285714285714285,0.3076923076923077,0.1951219512195122,26.0
13,0.17857142857142858,0.16666666666666666,0.1724137931034483,30.0
14,0.14444444444444443,0.43333333333333335,0.21666666666666667,30.0
15,0.15384615384615385,0.07142857142857142,0.0975609756097561,28.0
16,0.21212121212121213,0.25,0.22950819672131148,28.0
17,0.09803921568627451,0.18518518518518517,0.1282051282051282,27.0
18,0.08333333333333333,0.26666666666666666,0.12698412698412698,15.0
19,0.0,0.0,0.0,29.0
20,0.16666666666666666,0.034482758620689655,0.05714285714285714,29.0
21,0.0,0.0,0.0,30.0
22,0.04918032786885246,0.11538461538461539,0.06896551724137931,26.0
23,0.0,0.0,0.0,29.0
24,0.06451612903225806,0.09090909090909091,0.07547169811320754,22.0
25,0.05263157894736842,0.03333333333333333,0.04081632653061224,30.0
26,0.029411764705882353,0.03333333333333333,0.03125,30.0
27,0.0,0.0,0.0,30.0
28,0.1232876712328767,0.3103448275862069,0.17647058823529413,29.0
29,0.04,0.03333333333333333,0.03636363636363636,30.0
30,0.23809523809523808,0.16666666666666666,0.19607843137254902,30.0
31,0.041666666666666664,0.03333333333333333,0.037037037037037035,30.0
32,0.07692307692307693,0.21739130434782608,0.11363636363636363,23.0
33,0.047619047619047616,0.27586206896551724,0.08121827411167512,29.0
34,0.038461538461538464,0.034482758620689655,0.03636363636363636,29.0
35,0.15384615384615385,0.2,0.17391304347826086,30.0
36,0.02631578947368421,0.03333333333333333,0.029411764705882353,30.0
37,0.04878048780487805,0.06896551724137931,0.05714285714285714,29.0
38,0.0,0.0,0.0,30.0
39,0.5,0.034482758620689655,0.06451612903225806,29.0
40,0.09433962264150944,0.16666666666666666,0.12048192771084337,30.0
41,0.16666666666666666,0.1,0.125,30.0
42,0.2054794520547945,0.5,0.2912621359223301,30.0
43,0.04,0.034482758620689655,0.037037037037037035,29.0
44,0.2653061224489796,0.43333333333333335,0.3291139240506329,30.0
45,0.0,0.0,0.0,30.0
46,0.11290322580645161,0.23333333333333334,0.15217391304347827,30.0
47,0.16,0.26666666666666666,0.2,30.0
48,0.2857142857142857,0.06666666666666667,0.10810810810810811,30.0
49,0.125,0.06666666666666667,0.08695652173913043,30.0
50,0.06521739130434782,0.1,0.07894736842105263,30.0
51,0.08333333333333333,0.03333333333333333,0.047619047619047616,30.0
52,0.09722222222222222,0.23333333333333334,0.13725490196078433,30.0
53,0.11428571428571428,0.13333333333333333,0.12307692307692308,30.0
54,0.03571428571428571,0.03333333333333333,0.034482758620689655,30.0
55,0.12195121951219512,0.16666666666666666,0.14084507042253522,30.0
56,0.07407407407407407,0.06666666666666667,0.07017543859649122,30.0
57,0.15384615384615385,0.13333333333333333,0.14285714285714285,30.0
58,0.11764705882352941,0.07142857142857142,0.08888888888888889,28.0
59,0.05263157894736842,0.03333333333333333,0.04081632653061224,30.0
60,0.021739130434782608,0.034482758620689655,0.02666666666666667,29.0
61,0.10810810810810811,0.13333333333333333,0.11940298507462686,30.0
62,0.1111111111111111,0.03333333333333333,0.05128205128205128,30.0
63,0.12643678160919541,0.36666666666666664,0.18803418803418803,30.0
64,0.037037037037037035,0.03333333333333333,0.03508771929824561,30.0
65,0.016129032258064516,0.05,0.024390243902439025,20.0
66,0.0,0.0,0.0,30.0
67,0.13333333333333333,0.06666666666666667,0.08888888888888889,30.0
68,0.15789473684210525,0.1,0.12244897959183673,30.0
69,0.0,0.0,0.0,30.0
70,0.16071428571428573,0.3,0.20930232558139536,30.0
71,0.09090909090909091,0.03333333333333333,0.04878048780487805,30.0
72,0.10526315789473684,0.2,0.13793103448275862,30.0
73,0.07142857142857142,0.03333333333333333,0.045454545454545456,30.0
74,0.38461538461538464,0.16666666666666666,0.23255813953488372,30.0
75,0.125,0.1111111111111111,0.11764705882352941,27.0
76,0.0,0.0,0.0,30.0
77,0.09230769230769231,0.2,0.12631578947368421,30.0
78,0.09090909090909091,0.034482758620689655,0.05,29.0
79,0.0,0.0,0.0,30.0
80,0.14285714285714285,0.03333333333333333,0.05405405405405406,30.0
81,0.16216216216216217,0.2,0.1791044776119403,30.0
82,0.125,0.03333333333333333,0.05263157894736842,30.0
83,0.0,0.0,0.0,30.0
84,0.08571428571428572,0.13043478260869565,0.10344827586206896,23.0
