特征组,特征数,树数量,Top1准确率,Macro_F1
颜色与形状,43,150,0.061960648947186746,0.048992949173726534
增加纹理,65,150,0.0774939592682085,0.06409521895735872
完整特征,68,150,0.07714877459440801,0.06444761232024515
