trait,unit,n,mae,rmse,r2,baseline_mae,baseline_rmse,baseline_r2
体重_g,g,5994,350.1180659487349,827.4450033414215,0.0541387516615538,399.0701577277316,852.8426848555395,-0.0048170943057017634
跗蹠长度_mm,mm,5994,10.623585080953935,15.943610843798286,0.14661459358691575,12.093396703512987,17.312901360712385,-0.00626310693755272
翅长_mm,mm,5994,68.74358526687955,100.87524167339733,0.23287766429724333,82.9762004224726,115.36481352237307,-0.003326281270413567
尾长_mm,mm,5994,34.12802803853836,49.3358238867196,0.1253690101096141,37.919247017442515,52.84214667594438,-0.003369730967690776
喙长_mm,mm,5994,17.5461503745919,36.297744175451065,0.06177023606271659,19.913938387569406,37.59425668162889,-0.006451705058558854
喙宽_mm,mm,5994,3.136661045061685,5.587567675758948,0.038053022670574754,3.263655517743317,5.725857834221374,-0.010151849744066466
喙深_mm,mm,5994,4.202105289189243,6.579816744871435,0.10060373202869366,4.629855040157118,6.9803438775200055,-0.012225143556171103
